순위,영화명,감독,관객수,제작국가,장르,국적
85,가문의 위기(가문의 영광2),정용기,5635266,한국,코미디,한국
86,숨바꼭질,허정,5602543,미국,"드라마,공포(호러),스릴러",한국
87,숨바꼭질,허정,5602543,미국,"드라마,공포(호러),스릴러",한국
86,숨바꼭질,허정,5602543,한국,스릴러,한국
87,숨바꼭질,허정,5602543,한국,스릴러,한국
88,덕혜옹주,허진호,5593551,한국,"사극,드라마",한국
89,더 테러 라이브,김병우,5583596,한국,"범죄,기타",한국
90,쥬라기 월드,콜린 트레보로우,5546792,미국,"액션,어드벤처,SF",미국
91,의형제,장훈,5507106,한국,"드라마,액션",한국
92,감시자들,"조의석,김병서",5496547,한국,"범죄,액션",한국
93,앤트맨과 와스프,페이튼 리드,5447826,미국,"액션,어드벤처,SF",미국
94,닥터 스트레인지,스콧 데릭슨,5446379,미국,"액션,어드벤처,판타지",미국
95,검은 사제들,장재현,5440945,한국,"미스터리,드라마",한국
96,안시성,김광식,5440186,한국,"사극,액션",한국
97,블랙 팬서,라이언 쿠글러,5398994,미국,"액션,드라마,SF",미국
98,완득이,이한,5310510,한국,드라마,한국
99,트랜스포머: 사라진 시대,마이클 베이,5295801,미국,"액션,SF,어드벤처",미국
100,완벽한 타인,이재규,5294119,한국,"드라마,코미디",한국
101,살인의 추억,봉준호,5255376,한국,스릴러,한국
102,조커,토드 필립스,5255228,미국,"액션,드라마,스릴러",미국
103,월드 워 Z,마크 포스터,5237525,미국,"드라마,스릴러,SF,액션,어드벤처",미국
104,반지의 제왕 : 두개의 탑,피터 잭슨,5183000,미국,"액션,어드벤처,판타지",미국
105,타워,김지훈,5181014,한국,드라마,한국
106,말아톤,정윤철,5148022,한국,드라마,한국
107,미녀와 야수,빌 콘돈,5137993,프랑스,"판타지,멜로/로맨스",미국
108,미녀와 야수,빌 콘돈,5137993,프랑스,"판타지,멜로/로맨스",미국
107,미녀와 야수,빌 콘돈,5137993,미국,"멜로/로맨스,판타지,뮤지컬",미국
108,미녀와 야수,빌 콘돈,5137993,미국,"멜로/로맨스,판타지,뮤지컬",미국
109,추격자,나홍진,5071619,한국,"범죄,스릴러,액션",한국
110,독전,이해영,5063620,한국,"범죄,액션",한국
111,쿵푸팬더 2,여인영,5062722,미국,"애니메이션,액션,어드벤처,코미디,가족",미국
112,아쿠아맨,제임스 완,5038134,"미국,호주",액션,미국
113,공작,윤종빈,4971261,한국,드라마,한국
114,인사이드 아웃,피트 닥터,4968687,미국,"애니메이션,코미디",미국
115,캐리비안의 해적: 세상의 끝에서,고어 버빈스키,4966571,미국,"액션,코미디,어드벤처,판타지",미국
116,킹스맨: 골든 서클,매튜 본,4945484,"미국,영국","액션,어드벤처,코미디",미국
117,마스터,조의석,4940091,한국,"액션,범죄",한국
118,동갑내기 과외하기,김경형,4937573,한국,코미디,한국
119,스파이더맨 3,샘 레이미,4935660,미국,"액션,SF",미국
120,바람과 함께 사라지다,김주호,4897551,한국,"코미디,사극",한국
121,마션,리들리 스콧,4875494,미국,"액션,어드벤처,SF",미국
122,토르: 라그나로크,타이카 와이티티,4857152,미국,"액션,어드벤처,판타지,SF",미국
123,어메이징 스파이더맨,마크 웹,4853123,미국,액션,미국
124,"님아, 그 강을 건너지 마오",진모영,4801355,한국,다큐멘터리,한국
125,조선명탐정 : 각시투구꽃의 비밀,김석윤,4786259,한국,"코미디,액션",한국
126,봉오동 전투,원신연,4779501,한국,"사극,액션,드라마",한국
127,군도: 민란의 시대,윤종빈,4774895,한국,"사극,액션",한국
128,남산의 부장들,우민호,4750104,한국,드라마,한국
129,라이온 킹,존 파브로,4743184,미국,"어드벤처,드라마,가족",미국
130,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,4710454,한국,"범죄,드라마",한국
131,주토피아,"바이론 하워드,리치 무어",4703245,미국,"애니메이션,액션,어드벤처",미국
132,엣지 오브 투모로우,더그 라이만,4697142,미국,"액션,SF",미국
133,신세계,박훈정,4682492,한국,"범죄,액션",한국
134,쿵푸 팬더,"마크 오스본,존 스티븐슨",4673009,미국,"애니메이션,코미디,액션,가족",미국
135,신비한 동물사전,데이빗 예이츠,4666993,"미국,영국","어드벤처,가족,판타지",미국
136,도가니,황동혁,4662822,한국,드라마,한국
137,캐리비안의 해적 : 망자의 함,고어 버빈스키,4628903,미국,"액션,코미디,어드벤처,판타지",미국
138,박물관이 살아있다!,숀 레비,4612831,미국,"코미디,어드벤처",미국
139,내 아내의 모든 것,민규동,4598583,한국,"코미디,멜로/로맨스",한국
140,나쁜 녀석들: 더 무비,손용호,4573902,한국,"범죄,액션",한국
141,터미네이터 : 미래전쟁의 시작,맥지,4568891,미국,"SF,액션",미국
142,맘마미아!,필리다 로이드,4554785,미국,"멜로/로맨스,뮤지컬",미국
143,연가시,박정우,4513026,한국,"공포(호러),SF",한국
