,영화명,감독,개봉일,국가,스크린수,관객수,관람가,장르,개봉연도,개봉월,흥행
104,앤트맨과 와스프,페이튼 리드,2018-07-04,미국,1775,5447826,12세이상,액션,2018,7,1
105,닥터 스트레인지,스콧 데릭슨,2016-10-26,미국,1503,5446379,12세이상,액션,2016,10,1
106,검은 사제들,장재현,2015-11-05,한국,1088,5440945,15세이상,미스터리,2015,11,1
107,안시성,김광식,2018-09-19,한국,1540,5440186,12세이상,사극,2018,9,1
108,블랙 팬서,라이언 쿠글러,2018-02-14,미국,1620,5398994,12세이상,액션,2018,2,1
109,완득이,이한,2011-10-20,한국,500,5310510,12세이상,드라마,2011,10,1
110,트랜스포머: 사라진 시대,마이클 베이,2014-06-25,미국,1602,5295801,12세이상,액션,2014,6,1
111,완벽한 타인,이재규,2018-10-31,한국,1313,5294119,15세이상,드라마,2018,10,1
112,살인의 추억,봉준호,2003-04-25,한국,0,5255376,15세이상,스릴러,2003,4,1
113,조커,토드 필립스,2019-10-02,미국,1418,5255228,15세이상,액션,2019,10,1
114,월드 워 Z,마크 포스터,2013-06-20,미국,964,5237525,15세이상,드라마,2013,6,1
115,반지의 제왕 : 두개의 탑,피터 잭슨,2002-12-19,미국,0,5183000,12세이상,액션,2002,12,1
116,타워,김지훈,2012-12-25,한국,617,5181014,12세이상,드라마,2012,12,1
117,말아톤,정윤철,2005-01-27,한국,0,5148022,전체,드라마,2005,1,1
118,미녀와 야수,빌 콘돈,2017-03-16,미국,1627,5137993,전체,멜로/로맨스,2017,3,1
122,추격자,나홍진,2008-02-14,한국,435,5071619,19세이상,범죄,2008,2,1
123,독전,이해영,2018-05-22,한국,1357,5063620,15세이상,범죄,2018,5,1
124,쿵푸팬더 2,여인영,2011-05-26,미국,948,5062722,전체,애니메이션,2011,5,1
125,아쿠아맨,제임스 완,2018-12-19,미국,1285,5038134,12세이상,액션,2018,12,1
126,공작,윤종빈,2018-08-08,한국,1317,4971261,12세이상,드라마,2018,8,1
127,인사이드 아웃,피트 닥터,2015-07-09,미국,777,4968687,전체,애니메이션,2015,7,1
128,캐리비안의 해적: 세상의 끝에서,고어 버빈스키,2007-05-23,미국,0,4966571,12세이상,액션,2007,5,1
129,킹스맨: 골든 서클,매튜 본,2017-09-27,미국,1687,4945484,19세이상,액션,2017,9,1
130,마스터,조의석,2016-12-21,한국,1501,4940091,15세이상,액션,2016,12,1
132,동갑내기 과외하기,김경형,2003-02-07,한국,0,4937573,12세이상,코미디,2003,2,1
133,스파이더맨 3,샘 레이미,2007-05-01,미국,0,4935660,12세이상,액션,2007,5,1
134,바람과 함께 사라지다,김주호,2012-08-08,한국,694,4897551,12세이상,코미디,2012,8,1
135,마션,리들리 스콧,2015-10-08,미국,1132,4875494,12세이상,액션,2015,10,1
136,토르: 라그나로크,타이카 와이티티,2017-10-25,미국,1640,4857152,12세이상,액션,2017,10,1
137,어메이징 스파이더맨,마크 웹,2012-06-28,미국,1118,4853123,12세이상,액션,2012,6,1
138,"님아, 그 강을 건너지 마오",진모영,2014-11-27,한국,206,4801355,전체,다큐멘터리,2014,11,1
139,조선명탐정 : 각시투구꽃의 비밀,김석윤,2011-01-27,한국,611,4786259,12세이상,코미디,2011,1,1
140,봉오동 전투,원신연,2019-08-07,한국,1476,4779501,15세이상,사극,2019,8,1
141,군도: 민란의 시대,윤종빈,2014-07-23,한국,1394,4774895,15세이상,사극,2014,7,1
142,남산의 부장들,우민호,2020-01-22,한국,1659,4750104,15세이상,드라마,2020,1,1
143,라이온 킹,존 파브로,2019-07-17,미국,1936,4743184,전체,어드벤처,2019,7,1
144,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,2012-02-02,한국,699,4710454,19세이상,범죄,2012,2,1
145,주토피아,바이론 하워드,2016-02-17,미국,661,4703245,전체,애니메이션,2016,2,1
146,엣지 오브 투모로우,더그 라이만,2014-06-04,미국,801,4697142,12세이상,액션,2014,6,1
147,신세계,박훈정,2013-02-21,한국,671,4682492,19세이상,범죄,2013,2,1
148,쿵푸 팬더,마크 오스본,2008-06-05,미국,351,4673009,전체,애니메이션,2008,6,1
149,신비한 동물사전,데이빗 예이츠,2016-11-16,미국,1431,4666993,12세이상,어드벤처,2016,11,1
150,도가니,황동혁,2011-09-22,한국,644,4662822,19세이상,드라마,2011,9,1
151,캐리비안의 해적 : 망자의 함,고어 버빈스키,2006-07-06,미국,0,4628903,12세이상,액션,2006,7,1
152,박물관이 살아있다!,숀 레비,2006-12-21,미국,0,4612831,전체,코미디,2006,12,1
153,내 아내의 모든 것,민규동,2012-05-17,한국,563,4598583,15세이상,코미디,2012,5,1
154,나쁜 녀석들: 더 무비,손용호,2019-09-11,한국,1511,4573902,15세이상,범죄,2019,9,1
155,터미네이터 : 미래전쟁의 시작,맥지,2009-05-21,미국,704,4568891,15세이상,SF,2009,5,1
156,맘마미아!,필리다 로이드,2008-09-03,미국,457,4554785,12세이상,멜로/로맨스,2008,9,1
157,연가시,박정우,2012-07-05,한국,759,4513026,15세이상,공포(호러),2012,7,1
158,아이언맨 2,존 파브로,2010-04-29,미국,757,4498335,12세이상,SF,2010,4,1
159,강철비,양우석,2017-12-14,한국,1426,4451336,15세이상,액션,2017,12,1
160,해리포터와 죽음의 성물2,데이빗 예이츠,2011-07-13,미국,757,4400298,전체,판타지,2011,7,1
161,다만 악에서 구하소서,홍원찬,2020-08-05,한국,1998,4352669,15세이상,범죄,2020,8,1
162,아이언맨,존 파브로,2008-04-30,미국,592,4316003,12세이상,SF,2008,4,1
163,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,2014-05-22,미국,1056,4313871,12세이상,액션,2014,5,1
164,판도라,박정우,2016-12-07,한국,1166,4302032,12세이상,드라마,2016,12,1
165,강철중: 공공의 적 1-1,강우석,2008-06-19,한국,659,4300670,15세이상,드라마,2008,6,1
166,아가씨,박찬욱,2016-06-01,한국,1171,4277071,19세이상,스릴러,2016,6,1
167,킹콩,피터 잭슨,2005-12-14,미국,0,4232430,15세이상,드라마,2005,12,1
168,어메이징 스파이더맨 2,마크 웹,2014-04-23,미국,1312,4168350,12세이상,액션,2014,4,1
169,인디아나 존스 4 : 크리스탈 해골의 왕국,스티븐 스필버그,2008-05-22,미국,660,4136101,12세이상,액션,2008,5,1
170,용의자,원신연,2013-12-24,한국,807,4131248,15세이상,액션,2013,12,1
171,건축학개론,이용주,2012-03-22,한국,593,4110645,12세이상,멜로/로맨스,2012,3,1
172,태풍,곽경택,2005-12-14,한국,0,4094395,15세이상,드라마,2005,12,1
173,미이라 3:황제의 무덤,롭 코헨,2008-07-30,미국,527,4090795,12세이상,액션,2008,7,1
174,7급 공무원,신태라,2009-04-22,한국,475,4088799,12세이상,코미디,2009,4,1
175,다크 나이트,크리스토퍼 놀란,2008-08-06,미국,462,4087355,15세이상,범죄,2008,8,1
176,색즉시공,윤제균,2002-12-11,한국,0,4082797,18세이상,코미디,2002,12,1
177,댄싱퀸,이석훈,2012-01-18,한국,534,4057546,12세이상,코미디,2012,1,1
178,우리 생애 최고의 순간,임순례,2008-01-10,한국,418,4044582,전체,드라마,2008,1,1
179,꾼,장창원,2017-11-22,한국,1314,4018341,15세이상,범죄,2017,11,1
180,혹성탈출: 반격의 서막,맷 리브스,2014-07-10,미국,922,4002134,12세이상,액션,2014,7,1
181,타짜-신의 손,강형철,2014-09-03,한국,890,4001813,19세이상,드라마,2014,9,1
182,해리포터와 비밀의 방,크리스 콜럼버스,2002-12-13,미국,0,4000000,전체,드라마,2002,12,1
183,쿵푸팬더3,여인영,2016-01-28,미국,1365,3984812,전체,애니메이션,2016,1,1
184,캡틴 아메리카: 윈터 솔져,조 루소,2014-03-26,미국,1106,3963220,15세이상,액션,2014,3,1
185,공공의 적 2,강우석,2005-01-27,한국,0,3911356,15세이상,드라마,2005,1,1
186,박수건달,조진규,2013-01-09,한국,599,3893216,15세이상,코미디,2013,1,1
187,베놈,루벤 플레셔,2018-10-03,미국,1308,3888096,15세이상,액션,2018,10,1
188,한반도,강우석,2006-07-13,한국,0,3880308,15세이상,드라마,2006,7,1
189,조선명탐정 : 사라진 놉의 딸,김석윤,2015-02-11,한국,811,3872015,12세이상,사극,2015,2,1
190,트로이,볼프강 페터젠,2004-05-21,미국,0,3851000,15세이상,사극,2004,5,1
191,역린,이재규,2014-04-30,한국,1054,3849433,15세이상,사극,2014,4,1
192,매드 맥스: 분노의 도로,조지 밀러,2015-05-14,미국,799,3842441,15세이상,액션,2015,5,1
193,남한산성,황동혁,2017-10-03,한국,1229,3829891,15세이상,사극,2017,10,1
194,반도,연상호,2020-07-15,한국,2575,3812080,15세이상,액션,2020,7,1
195,데드풀 2,데이빗 레이치,2018-05-16,미국,1576,3784602,19세이상,액션,2018,5,1
196,쌍화점,유하,2008-12-30,한국,499,3779553,19세이상,드라마,2008,12,1
197,암수살인,김태균,2018-10-03,한국,1177,3772620,15세이상,범죄,2018,10,1
198,국가부도의 날,최국희,2018-11-28,한국,1180,3754983,12세이상,드라마,2018,11,1
199,신기전,김유진,2008-09-04,한국,585,3726134,15세이상,사극,2008,9,1
200,미이라,알렉스 커츠먼,2017-06-06,미국,1257,3689325,15세이상,액션,2017,6,1
201,82년생 김지영,김도영,2019-10-23,한국,1486,3679019,12세이상,드라마,2019,10,1
202,분노의 질주: 홉스&쇼,데이빗 레이치,2019-08-14,미국,1311,3657536,12세이상,액션,2019,8,1
203,분노의 질주: 더 익스트림,F. 게리 그레이,2017-04-12,미국,1469,3653238,15세이상,액션,2017,4,1
204,친절한 금자씨,박찬욱,2005-07-29,한국,0,3650000,18세이상,스릴러,2005,7,1
205,너의 이름은.,신카이 마코토,2017-01-04,일본,947,3637122,12세이상,애니메이션,2017,1,1
206,해리포터와 불의 잔,마이크 뉴웰,2005-12-01,미국,0,3615000,전체,판타지,2005,12,1
207,인턴,낸시 마이어스,2015-09-24,미국,496,3610642,12세이상,코미디,2015,9,1
208,라라랜드,데이미언 셔젤,2016-12-07,미국,727,3597193,12세이상,드라마,2016,12,1
209,귀향,조정래,2016-02-24,한국,876,3586523,15세이상,드라마,2016,2,1
218,리얼 스틸,숀 레비,2011-10-12,미국,603,3579666,12세이상,액션,2011,10,1
219,신의 한 수,조범구,2014-07-03,한국,794,3562123,19세이상,범죄,2014,7,1
220,미스터 & 미세스 스미스,더그 라이만,2005-06-16,미국,0,3546900,15세이상,멜로/로맨스,2005,6,1
221,스캔들-조선남녀상열지사,이재용,2003-10-02,한국,0,3522747,18세이상,사극,2003,10,1
222,코코,리 언크리치,2018-01-11,미국,1177,3510017,전체,애니메이션,2018,1,1
223,매트릭스2 리로디드,릴리 워쇼스키,2003-05-23,미국,0,3510000,15세이상,SF,2003,5,1
224,해리 포터와 불사조 기사단,데이빗 예이츠,2007-07-11,미국,0,3475000,전체,판타지,2007,7,1
225,가문의 부활 - 가문의 영광3,정용기,2006-09-21,한국,0,3464516,15세이상,코미디,2006,9,1
226,부러진 화살,정지영,2012-01-18,한국,453,3450941,15세이상,드라마,2012,1,1
227,끝까지 간다,김성훈,2014-05-29,한국,645,3450143,15세이상,액션,2014,5,1
228,아일랜드,마이클 베이,2005-07-21,미국,0,3433900,12세이상,SF,2005,7,1
229,비긴 어게인,존 카니,2014-08-13,미국,213,3427464,15세이상,멜로/로맨스,2014,8,1
230,스파이,이승준,2013-09-05,한국,785,3423920,15세이상,액션,2013,9,1
234,그것만이 내 세상,최성현,2018-01-17,한국,862,3417629,12세이상,코미디,2018,1,1
235,이끼,강우석,2010-07-14,한국,736,3408144,19세이상,드라마,2010,7,1
236,토이 스토리 4,조시 쿨리,2019-06-20,미국,1336,3399913,전체,애니메이션,2019,6,1
237,돈,박누리,2019-03-20,한국,1431,3389035,15세이상,범죄,2019,3,1
238,포화속으로,이재한,2010-06-16,한국,736,3385706,12세이상,드라마,2010,6,1
239,다이 하드 4 : 죽어도 산다,렌 와이즈먼,2007-07-17,미국,0,3380800,12세이상,액션,2007,7,1
240,맨 인 블랙 3,배리 소넨필드,2012-05-24,미국,770,3379762,12세이상,액션,2012,5,1
241,어바웃 타임,리차드 커티스,2013-12-05,영국,568,3375735,15세이상,멜로/로맨스,2013,12,1
242,악인전,이원태,2019-05-15,한국,1307,3364079,19세이상,범죄,2019,5,1
243,다빈치 코드,론 하워드,2006-05-18,미국,0,3339082,15세이상,미스터리,2006,5,1
244,슈퍼배드 3,피에르 꼬팽,2017-07-26,미국,1057,3324861,전체,애니메이션,2017,7,1
245,데드풀,팀 밀러,2016-02-17,미국,1036,3317196,19세이상,액션,2016,2,1
246,시동,최정열,2019-12-18,한국,1515,3317038,15세이상,드라마,2019,12,1
247,슈렉2,캘리 애스버리,2004-06-18,미국,0,3300533,전체,애니메이션,2004,6,1
248,아이 캔 스피크,김현석,2017-09-21,한국,1140,3280243,12세이상,코미디,2017,9,1
249,스타워즈: 깨어난 포스,J.J. 에이브럼스,2015-12-17,미국,940,3273879,12세이상,액션,2015,12,1
250,올드보이,박찬욱,2003-11-21,한국,0,3269000,18세이상,스릴러,2003,11,1
254,분노의 질주: 더 세븐,제임스 완,2015-04-01,미국,983,3247558,15세이상,액션,2015,4,1
255,터미네이터 제니시스,앨런 테일러,2015-07-02,미국,1113,3239371,15세이상,액션,2015,7,1
256,그래비티,알폰소 쿠아론,2013-10-17,미국,636,3227452,12세이상,SF,2013,10,1
257,우주전쟁,스티븐 스필버그,2005-07-07,미국,0,3223000,12세이상,드라마,2005,7,1
258,마녀,박훈정,2018-06-27,한국,1117,3189091,15세이상,미스터리,2018,6,1
262,어린 신부,김호준,2004-04-02,한국,0,3149500,12세이상,코미디,2004,4,1
263,오! 브라더스,김용화,2003-09-04,한국,0,3148748,15세이상,코미디,2003,9,1
265,탐정: 리턴즈,이언희,2018-06-13,한국,1041,3148038,15세이상,코미디,2018,6,1
266,"장화, 홍련",김지운,2003-06-13,한국,0,3146217,12세이상,공포(호러),2003,6,1
267,그놈 목소리,박진표,2007-02-01,한국,0,3143247,12세이상,드라마,2007,2,1
268,우리들의 행복한 시간,송해성,2006-09-14,한국,0,3132320,15세이상,드라마,2006,9,1
269,캐리비안의 해적: 낯선 조류,롭 마샬,2011-05-19,미국,960,3130046,12세이상,액션,2011,5,1
270,퀵,조범구,2011-07-20,한국,512,3125069,15세이상,코미디,2011,7,1
271,감기,김성수,2013-08-14,한국,806,3119023,15세이상,드라마,2013,8,1
272,말죽거리 잔혹사,유하,2004-01-16,한국,0,3115767,15세이상,액션,2004,1,1
273,광복절 특사,김상진,2002-11-20,한국,0,3101900,15세이상,드라마,2002,11,1
274,나우 유 씨 미 2,존 추,2016-07-13,미국,1200,3100113,12세이상,범죄,2016,7,1
275,마파도,추창민,2005-03-10,한국,0,3090467,15세이상,코미디,2005,3,1
276,하모니,강대규,2010-01-28,한국,405,3068544,12세이상,드라마,2010,1,1
277,거북이 달린다,이연우,2009-06-11,한국,379,3059812,15세이상,드라마,2009,6,1
278,너는 내 운명,박진표,2005-09-23,한국,0,3051134,18세이상,멜로/로맨스,2005,9,1
279,캐리비안의 해적: 죽은 자는 말이 없다,요아킴 뢰닝,2017-05-24,미국,1357,3049894,12세이상,액션,2017,5,1
280,스물,이병헌,2015-03-25,한국,926,3044134,15세이상,코미디,2015,3,1
281,토르: 다크 월드,앨런 테일러,2013-10-30,미국,733,3039889,12세이상,액션,2013,10,1
282,식객,전윤수,2007-11-01,한국,0,3038868,12세이상,드라마,2007,11,1
283,방자전,김대우,2010-06-02,한국,512,3035116,19세이상,사극,2010,6,1
284,인크레더블 2,브래드 버드,2018-07-18,미국,1605,3033052,전체,애니메이션,2018,7,1
285,하울의 움직이는 성,미야자키 하야오,2004-12-23,일본,0,3015165,전체,애니메이션,2004,12,1
286,마더,봉준호,2009-05-28,한국,648,3013523,19세이상,드라마,2009,5,1
290,투모로우,롤랜드 에머리히,2004-06-03,미국,0,3006400,12세이상,SF,2004,6,1
291,레드: 더 레전드,딘 패리소트,2013-07-18,미국,739,3004647,15세이상,액션,2013,7,1
292,해리 포터와 혼혈 왕자,데이빗 예이츠,2009-07-15,미국,751,3002669,전체,어드벤처,2009,7,1
293,오싹한 연애,황인호,2011-12-01,한국,469,3001530,12세이상,공포(호러),2011,12,1
294,드래곤 길들이기 2,딘 데블로이스,2014-07-23,미국,829,3000056,전체,애니메이션,2014,7,1
295,황금 나침반,크리스 웨이츠,2007-12-18,미국,0,2979838,전체,판타지,2007,12,1
296,형,권수경,2016-11-23,한국,993,2979659,12세이상,코미디,2016,11,1
297,친구 2,곽경택,2013-11-14,한국,968,2971475,19세이상,액션,2013,11,1
298,26년,조근현,2012-11-29,한국,604,2963449,15세이상,액션,2012,11,1
299,워낭소리,이충렬,2009-01-15,한국,20,2962897,전체,다큐멘터리,2009,1,1
300,공조,김성훈,2017-01-18,한국,976,2957330,15세이상,액션,2017,1,1
301,서치,아니쉬 차간티,2018-08-29,미국,816,2949944,12세이상,드라마,2018,8,1
302,고지전,장훈,2011-07-20,한국,585,2945137,15세이상,드라마,2011,7,1
303,엑스맨: 아포칼립스,브라이언 싱어,2016-05-25,미국,1262,2938818,12세이상,액션,2016,5,1
304,프리즌,나현,2017-03-23,한국,1047,2931897,19세이상,범죄,2017,3,1
306,솔트,필립 노이스,2010-07-29,미국,556,2921331,15세이상,스릴러,2010,7,1
307,가장 보통의 연애,김한결,2019-10-02,한국,1073,2917213,15세이상,멜로/로맨스,2019,10,1
308,헬로우 고스트,김영탁,2010-12-22,한국,472,2897477,12세이상,코미디,2010,12,1
309,귀신이 산다,김상진,2004-09-17,한국,0,2890000,12세이상,코미디,2004,9,1
310,원티드,티무르 베크맘베토브,2008-06-26,미국,446,2867594,19세이상,스릴러,2008,6,1
311,극비수사,곽경택,2015-06-18,한국,894,2860786,15세이상,드라마,2015,6,1
312,슈렉3,크리스 밀러,2007-06-06,미국,0,2844159,전체,애니메이션,2007,6,1
313,표적,창,2014-04-30,한국,665,2841788,15세이상,액션,2014,4,1
314,앤트맨,페이튼 리드,2015-09-03,미국,949,2839921,12세이상,액션,2015,9,1
315,호빗: 다섯 군대 전투,피터 잭슨,2014-12-17,미국,926,2836774,12세이상,어드벤처,2014,12,1
316,너의 결혼식,이석근,2018-08-22,한국,962,2820029,12세이상,멜로/로맨스,2018,8,1
317,호빗: 뜻밖의 여정,피터 잭슨,2012-12-13,미국,1028,2818993,12세이상,어드벤처,2012,12,1
318,말모이,엄유나,2019-01-09,한국,1203,2812444,12세이상,드라마,2019,1,1
319,메이즈 러너,웨스 볼,2014-09-18,미국,648,2812427,12세이상,액션,2014,9,1
320,해리 포터와 죽음의 성물1,데이빗 예이츠,2010-12-15,미국,718,2809053,전체,미스터리,2010,12,1
321,빅 히어로,돈 홀,2015-01-21,미국,825,2801949,전체,애니메이션,2015,1,1
322,덩케르크,크리스토퍼 놀란,2017-07-20,미국,1252,2792705,12세이상,액션,2017,7,1
323,혹성탈출: 진화의 시작,루퍼트 와이어트,2011-08-17,미국,514,2773794,12세이상,액션,2011,8,1
324,황산벌,이준익,2003-10-17,한국,0,2771236,15세이상,코미디,2003,10,1
325,부당거래,류승완,2010-10-28,한국,502,2766436,19세이상,범죄,2010,10,1
